,Scientific name,Family,Common name,Growth rate (r),Mobility (m),Mobility classification,Movement source,Movement information notes and references
484,Miichthys miiuy,Sciaenidae,Mi-iuy croaker,0.562,0.3,habitat_coastal,FB,
485,Xyrichtys novacula,Labridae,Pearly razorfish,0.651,0.3,habitat_coastal,FB,
486,Lateolabrax japonicus,Lateolabracidae,Japanese seabass,0.28,0.3,habitat_reef,FB,
487,Galeorhinus galeus,Triakidae,Tope shark,0.043,0.9,hms,FB,FB: “Occurs in small schools that are highly migratory in higher latitudes in their range (Ref. 244).”
488,Pomadasys jubelini,Haemulidae,Sompat grunt,0.753,0.3,habitat_coastal,FB,
489,Acanthurus sohal,Acanthuridae,Sohal surgeonfish,0.53,0.3,habitat_reef,FB,
490,Otolithes ruber,Sciaenidae,Tigertooth croaker,0.865,0.3,habitat_coastal,FB,
491,Plectropomus leopardus,Serranidae,Leopard coralgrouper,0.262,0.3,habitat_reef,FB,
492,Spicara maena,Centracanthidae,Blotched picarel,0.661,0.3,habitat_coastal,FB,
493,Epinephelus goreensis,Serranidae,Dungat grouper,0.287,0.3,habitat_benthic,IUCN,
494,Mustelus mustelus,Triakidae,Smooth-hound,0.132,0.3,habitat_coastal,FB,
495,Pontinus kuhlii,Scorpaenidae,Offshore rockfish,0.282,0.3,habitat_deep,FB,
496,Promethichthys prometheus,Gempylidae,Roudi escolar,0.283,0.3,habitat_deep,FB,
497,Epinephelus morrhua,Serranidae,Comet grouper,0.271,0.3,habitat_reef,FB,FB: “Marine; reef-associated; non-migratory”
498,Variola louti,Serranidae,Yellow-edged lyretail,0.375,0.3,habitat_reef,FB,
499,Alosa fallax,Clupeidae,Twaite shad,0.806,0.9,migratory,FB,"FB: “Amphihaline species (Ref. 51442), schooling and strongly migratory, but apparently not penetrating far up rivers (Ref. 188, 6683). Adults are usually found in open waters along the coast (Refs. 59043, 89486)”"
500,Epinephelus areolatus,Serranidae,Areolate grouper,0.323,0.3,habitat_coastal,FB,"FB: “Usually found in seagrass beds or on fine sediment bottoms near rocky reefs, dead coral, or alcyonarians (Ref. 5222), in shallow continental shelf waters” "
501,Rhynchobatus djiddensis,Rhinobatidae,Giant guitarfish,0.205,0.3,habitat_benthic,FB,
502,Chelidonichthys capensis,Triglidae,Cape gurnard,0.277,0.3,habitat_benthic,FB,
503,Epinephelus chlorostigma,Serranidae,Brownspotted grouper,0.315,0.3,habitat_coastal,FB,"FB: “Found over a wide range of habitats like seagrass beds and outer reef slopes (Ref. 5213), also on mud bottoms.”"
504,Acanthopagrus berda,Sparidae,Goldsilk seabream,0.548,0.3,habitat_coastal,FB,
505,Cymatoceps nasutus,Sparidae,Black musselcracker,0.189,0.3,habitat_coastal,FB,
506,Bolbometopon muricatum,Scaridae,Green humphead parrotfish,0.237,0.3,habitat_reef,FB,
507,Mulloidichthys flavolineatus,Mullidae,Yellowstripe goatfish,0.798,0.3,habitat_reef,FB,
508,Gerres oyena,Gerreidae,Common silver-biddy,1.594,0.3,habitat_coastal,FB,
509,Pomadasys kaakan,Haemulidae,Javelin grunter,0.627,0.3,habitat_coastal,FB,
510,Acanthopagrus latus,Sparidae,Yellowfin seabream,0.419,0.3,habitat_coastal,FB,
511,Chirocentrus dorab,Chirocentridae,Dorab wolf-herring,0.401,0.3,habitat_coastal,FB,"FB: “Occurs inshore, including brackish waters (Ref. 12743).”"
512,Pagrus auratus,Sparidae,Silver seabream,0.213,0.3,habitat_reef,FB,
513,Aethaloperca rogaa,Serranidae,Redmouth grouper,0.393,0.3,habitat_reef,FB,FB: “Marine; reef-associated; non-migratory”
514,Cephalopholis boenak,Serranidae,Chocolate hind,0.477,0.3,habitat_reef,FB,
515,Cephalopholis hemistiktos,Serranidae,Yellowfin hind,0.369,0.1,territorial,FB,"FB: “It is a monogamous species, the pair jointly defends a common territory of up to 62 square m (Ref. 6480).”"
516,Cephalopholis miniata,Serranidae,Coral hind,0.453,0.1,territorial,FB,FB: “These groups occupy territories of up to 475 sq m subdivided into secondary territories and defended by a single female (Ref. 6480).”
517,Cromileptes altivelis,Serranidae,Humpback grouper,0.152,0.3,habitat_reef,FB,
518,Epinephelus marginatus,Serranidae,Dusky grouper,0.11,0.1,territorial,FB,FB: “Solitary and territorial (Ref. 12382).”
519,Saurida tumbil,Synodontidae,Greater lizardfish,0.476,0.3,habitat_benthic,FB,
520,Sargocentron spiniferum,Holocentridae,Sabre squirrelfish,1.094,0.3,habitat_reef,FB,
521,Bathyraja eatonii,Arhynchobatidae,Eaton's skate,0.116,0.3,habitat_benthic,FB,
522,Macrourus carinatus,Macrouridae,Ridge scaled rattail,0.131,0.3,habitat_deep,FB,
523,Macrourus whitsoni,Macrouridae,Whitson's grenadier,0.131,0.3,habitat_deep,FB,
524,Epinephelus multinotatus,Serranidae,White-blotched grouper,0.273,0.3,habitat_reef,FB,
525,Epinephelus summana,Serranidae,Summan grouper,0.287,0.3,habitat_reef,FB,
526,Micropogonias furnieri,Sciaenidae,Whitemouth croaker,0.541,0.3,habitat_coastal,FB,
527,Plectorhinchus sordidus,Haemulidae,Sordid rubberlip,0.55,0.3,habitat_reef,FB,
528,Plectorhinchus gaterinus,Haemulidae,Blackspotted rubberlip,0.447,0.3,habitat_reef,FB,
529,Plectorhinchus schotaf,Haemulidae,Minstrel sweetlips,0.447,0.3,habitat_reef,FB,
530,Pomadasys stridens,Haemulidae,Striped piggy,0.779,0.3,habitat_coastal,FB,
531,Pomacanthus maculosus,Pomacanthidae,Yellowbar angelfish,0.205,0.3,habitat_reef,FB,
532,Crenidens crenidens,Sparidae,Karanteen seabream,0.519,0.3,habitat_coastal,FB,
533,Pelates quadrilineatus,Terapontidae,Fourlined terapon,0.814,0.3,habitat_coastal,FB,
534,Rhabdosargus haffara,Sparidae,Haffara seabream,0.561,0.3,habitat_reef,FB,
535,Odontesthes regia,Atherinidae,Chilean silverside,0.646,0.3,habitat_coastal,REF,Secondary ref: (33)
536,Plectorhinchus pictus,Haemulidae,Trout sweetlips,0.289,0.3,habitat_reef,IUCN,IUCN: “This species inhabits coastal rocky and coral reefs (Carpenter et al. 1997).”
537,Callorhinchus callorynchus,Callorhinchidae,Plownose chimaera,0.167,0.3,habitat_benthic,FB,
538,Cephalopholis fulva,Serranidae,Coney,0.435,0.3,habitat_reef,FB,
539,Patagonotothen ramsayi,Nototheniidae,Longtail southern cod,0.471,0.9,deep,,
540,Tragulichthys jaculiferus,Diodontidae,Longspine burrfish,0.824,0.3,habitat_benthic,FB,
541,Paristiopterus labiosus,Pentacerotidae,Giant boarfish,0.566,0.3,habitat_benthic,FB,
542,Prolatilus jugularis,Pinguipedidae,Pacific sandperch,0.637,0.3,habitat_benthic,FB,
543,Sparisoma cretense,Scaridae,Parrotfish,0.486,0.3,habitat_coastal,FB,
544,Hydrolagus novaezealandiae,Chimaeridae,Dark ghost shark,0.192,0.9,deep,FB,
545,Cynoponticus coniceps,Muraenesocidae,Red pike conger,0.409,0.1,sedentary,FB,
546,Centroberyx affinis,Berycidae,Redfish,0.322,0.3,habitat_coastal,FB,
547,Centriscops humerosus,Centriscidae,Banded yellowfish,0.866,0.3,habitat_benthic,FB,
548,Lepidoperca pulchella,Serranidae,Orange perch,0.393,0.3,habitat_reef,FB,
549,Caprodon longimanus,Serranidae,Pink maomao,0.393,0.3,habitat_reef,FB,
550,Allothunnus fallai,Scombridae,Slender tuna,0.597,0.9,pelagic,FB,
551,Ammodytes personatus,Ammodytidae,Pacific sandlance,0.344,0.3,habitat_coastal,FB,FB: “Marine; demersal; oceanodromous (Ref. 51243)”
552,Aphanopus carbo,Trichiuridae,Black scabbardfish,0.346,0.9,deep,REF,Secondary ref: (34)
553,Aphareus rutilans,Lutjanidae,Rusty jobfish,0.312,0.3,habitat_reef,FB,
554,Aprion virescens,Lutjanidae,Green jobfish,0.588,0.3,habitat_reef,FB,
555,Apsilus fuscus,Lutjanidae,African forktail snapper,0.591,0.3,habitat_reef,FB,
556,Argentina sphyraena,Argentinidae,Argentine,0.228,0.9,pelagic,FB,"FB: “Feeds on bottom-living polychaetes, mollusks and crustaceans, also on pelagic invertebrates and fishes.”"
557,Atheresthes evermanni,Pleuronectidae,Kamchatka flounder,0.172,0.3,habitat_benthic,FB,
558,Caulolatilus microps,Malacanthidae,Grey tilefish,0.346,0.1,sedentary,IUCN,IUCN: “It is generally not migratory and most likely inhabits burrows as do most of its congeners.”
559,Champsocephalus gunnari,Channichthyidae,Mackerel icefish,0.303,0.3,habitat_coastal,REF,Secondary ref: (35)
560,Channichthys rhinoceratus,Channichthyidae,Unicorn icefish,0.239,0.3,habitat_coastal,FB,
561,Coryphaenoides rupestris,Macrouridae,Roundnose grenadier,0.072,0.3,habitat_deep,FB,
562,Cyclopterus lumpus,Cyclopteridae,Lumpfish,0.144,0.9,migratory,FB,FB: “They migrate considerable distances in an annual cycle between deeper waters in winter and shallower waters in summer (Ref. 26141).”
563,Dentex angolensis,Sparidae,Angolan dentex,0.459,0.3,habitat_coastal,FB,
564,Drepane africana,Drepaneidae,African sicklefish,0.478,0.3,habitat_coastal,FB,
565,Elops saurus,Elopidae,Ladyfish,0.574,0.3,habitat_coastal,FB,FB: “Spawn in the open sea (Ref. 5217).”
566,Encrasicholina punctifer,Engraulidae,Buccaneer anchovy,1.63,0.9,pelagic,FB,"FB: “A schooling species found inshore and in oceanic waters, hundreds of miles from land.”"
567,Euthynnus lineatus,Scombridae,Black skipjack,0.516,0.9,pelagic,IUCN,
568,Gadus ogac,Gadidae,Greenland cod,0.385,0.3,habitat_coastal,FAO,"FAO: “Usually lives close to the coast, from 0 to 200 m depth, and is rarely found offshore, in deeper water.”"
569,Galeus melastomus,Pentanchidae,Blackmouth catshark,0.188,0.3,habitat_deep,FB,
570,Gasterochisma melampus,Scombridae,Butterfly kingfish,0.597,0.9,deep,FB,
571,Joturus pichardi,Mugilidae,Bobo mullet,0.636,0.3,habitat_coastal,FB,
572,Labrus bergylta,Labridae,Ballan wrasse,0.208,0.3,habitat_reef,FB,
573,Leiostomus xanthurus,Sciaenidae,Spot croaker,0.766,0.3,habitat_coastal,FB,
574,Lophius piscatorius,Lophiidae,Angler,0.394,0.3,habitat_benthic,FB,
575,Macrourus berglax,Macrouridae,Roughhead grenadier,0.088,0.3,habitat_deep,FB,
576,Merluccius senegalensis,Merlucciidae,Senegalese hake,0.196,0.9,migratory,FB,FB: “Undergoes seasonal latitudinal migrations (Ref. 9709).”
577,Pleurogrammus azonus,Hexagrammidae,Okhotsk atka mackerel,0.16,0.3,habitat_benthic,FB,
578,Priacanthus macracanthus,Priacanthidae,Red bigeye,0.901,0.3,habitat_reef,FB,
579,Pseudupeneus prayensis,Mullidae,West African goatfish,0.897,0.3,habitat_benthic,FB,
580,Salmo salar,Salmonidae,Atlantic salmon,0.73,0.9,migratory,FB,
581,Scomberomorus brasiliensis,Scombridae,Serra Spanish mackerel,0.495,0.3,habitat_coastal,FB,"FB: “Does not migrate extensively, although some seasonal movement appears to occur off Trinidad.”"
582,Scomberomorus sierra,Scombridae,Pacific sierra,0.626,0.9,pelagic,IUCN,
583,Seriola lalandi,Carangidae,Yellowtail amberjack,0.434,0.3,habitat_reef,FB,
584,Squatina californica,Squatinidae,Pacific angelshark,0.076,0.3,habitat_benthic,FB,
585,Tetrapturus pfluegeri,Istiophoridae,Longbill spearfish,0.49,0.9,hms,FB,
586,Umbrina canosai,Sciaenidae,Argentine croaker,0.681,0.3,habitat_benthic,FB,
587,Acipenser transmontanus,Acipenseridae,White sturgeon,0.086,0.3,habitat_coastal,FB,"FB: “Spends most of its time in the sea, usually close to shore (Ref. 27547).”"
588,Anarhichas denticulatus,Anarhichadidae,Northern wolffish,0.101,0.3,habitat_deep,FB,"FB: “Inhabits offshore waters in midwater; adults also near bottom from 60-970 m, mainly 100-900 m (Ref. 4694).”"
589,Anarhichas lupus,Anarhichadidae,Atlantic wolffish,0.105,0.3,habitat_coastal,FB,
590,Atherina boyeri,Atherinidae,Big-scale sand smelt,0.813,0.3,habitat_coastal,FB,
591,Beryx decadactylus,Berycidae,Alfonsino,0.159,0.3,habitat_deep,FB,
592,Caranx melampygus,Carangidae,Bluefin trevally,0.562,0.3,habitat_reef,FB,
593,Caranx sexfasciatus,Carangidae,Bigeye trevally,0.731,0.3,habitat_reef,FB,
594,Chimaera monstrosa,Chimaeridae,Rabbit fish,0.116,0.9,deep,FB,
595,Chloroscombrus orqueta,Carangidae,Pacific bumper,0.884,0.3,habitat_coastal,FB,
596,Cynoscion arenarius,Sciaenidae,Sand weakfish,0.79,0.3,habitat_coastal,FB,
597,Dasyatis americana,Dasyatidae,Southern stingray,0.54,0.3,habitat_benthic,FB,
598,Decapterus macrosoma,Carangidae,Shortfin scad,1.34,0.9,pelagic,FB,"FB: “A predominately pelagic schooling species (Ref. 9283, 48635, 58302).”"
599,Dussumieria acuta,Dussumieriidae,Rainbow sardine,0.898,0.3,habitat_coastal,FB,
600,Dussumieria elopsoides,Dussumieriidae,Slender rainbow sardine,0.787,0.3,habitat_coastal,FB,
601,Engraulis mordax,Engraulidae,Californian anchovy,0.452,0.9,pelagic,FB,"FB: “Usually found in coastal waters within about 30 km from shore, but as far out as 480 km, forming large, tightly packed schools.”"
602,Etrumeus whiteheadi,Dussumieriidae,Whitehead's round herring,0.424,0.3,habitat_coastal,FB,
603,Gadiculus argenteus,Gadidae,Silvery pout,0.917,0.3,habitat_deep,FB,FB: “Marine; pelagic-oceanic; non-migratory; depth range 100 - 1000 m (Ref. 35388).”
604,Gasterosteus aculeatus,Gasterosteidae,Three-spined stickleback,0.998,0.3,habitat_coastal,FB,
605,Hemiramphus balao,Hemiramphidae,Balao halfbeak,0.889,0.9,pelagic,IUCN,"IUCN: “This offshore, surface dwelling species forms large schools and can be associated with pelagic Sargassum in the North Atlantic Ocean and Gulf of Mexico (Coston-Clements et al. 1991, Collette 1999).”"
606,Lethrinus atlanticus,Lethrinidae,Atlantic emperor,0.43,0.3,habitat_reef,FB,
607,Lethrinus borbonicus,Lethrinidae,Snubnose emperor,0.636,0.3,habitat_reef,FB,
608,Lethrinus microdon,Lethrinidae,Smalltooth emperor,0.405,0.3,habitat_reef,FB,
609,Lethrinus xanthochilus,Lethrinidae,Yellowlip emperor,0.313,0.3,habitat_reef,FB,
610,Lophius gastrophysus,Lophiidae,Blackfin goosefish,0.425,0.3,habitat_benthic,FB,
611,Muraena helena,Muraenidae,Mediterranean moray,0.189,0.1,territorial,FB,
612,Mycteroperca phenax,Serranidae,Scamp,0.216,0.3,habitat_reef,FB,
613,Pellona ditchela,Pristigasteridae,Indian pellona,0.764,0.9,pelagic,IUCN,
614,Petromyzon marinus,Petromyzontidae,Sea lamprey,0.292,0.9,migratory,FB,"FB: “Amphihaline species making important migrations. Spends its adult life in the sea for about 20-36 months, moving further offshore as it grows (Ref. 59043).” "
615,Ruvettus pretiosus,Gempylidae,Oilfish,0.416,0.9,migratory,FB,FB: “Migrates far offshore (Ref. 26139). Pelagic (Ref. 5951).”
616,Sardinella lemuru,Clupeidae,Bali sardinella,1.197,0.3,habitat_coastal,FB,
617,Sardinella longiceps,Clupeidae,Indian oil sardine,1.069,0.9,migratory,FB,FB: “Coastal pelagic (Ref. 68964). Forms schools in coastal waters and strongly migratory.”
618,Scomberoides commersonnianus,Carangidae,Talang queenfish,0.911,0.3,habitat_reef,FB,
619,Selene peruviana,Carangidae,Peruvian moonfish,0.882,0.3,habitat_coastal,FB,
620,Stereolepis gigas,Polyprionidae,Giant seabass,0.278,0.3,habitat_benthic,IUCN,
621,Stromateus fiatola,Stromateidae,Blue butterfish,0.839,0.9,pelagic,FB,
622,Tetrapturus angustirostris,Istiophoridae,Shortbill spearfish,0.49,0.9,hms,FB,
623,Tetrapturus belone,Istiophoridae,Mediterranean spearfish,0.49,0.9,hms,FB,
624,Trachinotus mookalee,Carangidae,Indian pompano,0.843,0.3,habitat_coastal,FB,
625,Trachinus draco,Trachinidae,Greater weever,0.63,0.3,habitat_benthic,FB,"FB: “At night they swim around freely, even pelagically (Ref. 35388).”"
626,Trichiurus lepturus,Trichiuridae,Largehead hairtail,0.583,0.3,habitat_coastal,FB,
627,Uranoscopus scaber,Uranoscopidae,Stargazer,0.645,0.1,sedentary,FB,
628,Zeus faber,Zeidae,John dory,0.214,0.3,habitat_reef,FB,
629,Psettichthys melanostictus,Pleuronectidae,Pacific sand sole,0.306,0.3,habitat_benthic,FB,
630,Normanichthys crockeri,Normanichthyidae,Mote sculpin,0.459,0.3,habitat_coastal,REF,Secondary ref: (36)
631,Sphyraena obtusata,Sphyraenidae,Obtuse barracuda,0.681,0.3,habitat_coastal,FB,
632,Umbrina canariensis,Sciaenidae,Canary drum,0.379,0.3,habitat_benthic,FB,
633,Dentex congoensis,Sparidae,Congo dentex,0.553,0.3,habitat_coastal,FB,
634,Callorhinchus milii,Callorhinchidae,Ghost shark,0.114,0.3,habitat_benthic,FB,
635,Sphyraena jello,Sphyraenidae,Pickhandle barracuda,0.598,0.3,habitat_coastal,FB,
636,Epinephelus merra,Serranidae,Honeycomb grouper,0.431,0.3,habitat_reef,FB,
637,Elops lacerta,Elopidae,West African ladyfish,0.594,0.3,habitat_coastal,FB,FB: “The reproduction takes place in the sea (Ref. 81265).”
638,Scarus ghobban,Scaridae,Blue-barred parrotfish,0.573,0.3,habitat_reef,FB,
639,Cheilinus undulatus,Labridae,Humphead wrasse,0.377,0.3,habitat_reef,FB,
640,Gerres oblongus,Gerreidae,Slender silver-biddy,1.496,0.3,habitat_reef,FB,
641,Mustelus lenticulatus,Triakidae,Spotted estuary smooth-hound,0.101,0.9,migratory,FB,"FB: “Makes seasonal inshore-offshore movements (Ref. 244).  Makes extensive coastal migrations, with one tagged female moving at least 1160 km (Ref. 54100).”"
642,Mustelus schmitti,Triakidae,Narrownose smooth-hound,0.147,0.3,habitat_coastal,FB,
643,Mustelus asterias,Triakidae,Starry smooth-hound,0.133,0.3,habitat_coastal,FB,
644,Mustelus antarcticus,Triakidae,Gummy shark,0.09,0.9,migratory,FB,"FB: “These sharks are capable of long migrations, females traveling longer distances than males (Ref. 6390).  Utilized fresh for human consumption (Ref. 6871).”"
645,Plectropomus areolatus,Serranidae,Squaretail coralgrouper,0.322,0.3,migratory,IUCN,"IUCN: “Individuals of both sexes appear to use reproductive migratory corridors to reach aggregation sites, which increase their vulnerability to fisheries (Rhodes and Tupper 2008).”"
646,Cephalopholis argus,Serranidae,Peacock hind,0.453,0.3,habitat_reef,FB,
647,Diastobranchus capensis,Synaphobranchidae,Basketwork eel,0.368,0.3,habitat_deep,REF,Secondary ref: (37)
648,Epinephelus polylepis,Serranidae,Smallscaled grouper,0.281,0.3,habitat_benthic,IUCN,
649,Plectropomus pessuliferus,Serranidae,Roving coralgrouper,0.322,0.3,habitat_reef,FB,
650,Girella tricuspidata,Kyphosidae,Parore,0.178,0.3,habitat_coastal,FB,
651,Fistularia corneta,Fistulariidae,Pacific cornetfish,0.859,0.3,habitat_reef,FB,"FB: “Adults occur at depths greater than 30 m, along continental and insular margins (Ref. 36710), over rocky substrates (Ref. 37955).”"
652,Seriolella porosa,Centrolophidae,Choicy ruff,0.319,0.3,habitat_coastal,FB,
653,Bregmaceros mcclellandi,Bregmacerotidae,Unicorn cod,0.39,0.9,pelagic,FB,
654,Lepidorhynchus denticulatus,Macrouridae,Thorntooth grenadier,0.176,0.3,habitat_deep,FB,
655,Solea senegalensis,Soleidae,Senegalese sole,0.141,0.3,habitat_benthic,FB,
656,Chelidonichthys lucerna,Triglidae,Tub gurnard,0.346,0.3,habitat_benthic,FB,
657,Gerres nigri,Gerreidae,Guinean striped mojarra,1.496,0.3,habitat_benthic,FB,
658,Lophius vomerinus,Lophiidae,Devil anglerfish,0.446,0.3,habitat_benthic,FB,
659,Cyttus traversi,Cyttidae,King dory,0.431,0.3,habitat_deep,FB,
660,Aplodactylus punctatus,Aplodactylidae,NA,0.63,0.3,habitat_coastal,FB,"FB: “This species is most abundant littoral species on the coast of central Chile, found in close association with the brown kelp Lessonia trabeculata.”"
661,Seriolella caerulea,Centrolophidae,White warehou,0.332,0.3,habitat_coastal,FB,
662,Stromateus brasiliensis,Stromateidae,Southwest Atlantic butterfish,0.839,0.9,pelagic,FB,
663,Scarus persicus,Scaridae,Gulf parrotfish,0.62,0.3,habitat_reef,IUCN,
664,Cheilodactylus variegatus,Cheilodactylidae,Peruvian morwong,0.331,0.3,habitat_coastal,REF,Secondary ref: (38)
665,Genypterus chilensis,Ophidiidae,Red cusk-eel,0.203,0.3,habitat_benthic,FB,
666,Genypterus maculatus,Ophidiidae,Black cusk-eel,0.203,0.3,habitat_benthic,FB,
667,Rhinobatos planiceps,Rhinobatidae,Pacific guitarfish,0.213,0.3,habitat_benthic,FB,
668,Pennahia anea,Sciaenidae,Donkey croaker,1.314,0.3,habitat_coastal,FB,
669,Rhynchobatus australiae,Rhinobatidae,Whitespotted wedgefish,0.205,0.3,habitat_benthic,FB,
670,Himantura gerrardi,Dasyatidae,Sharpnose stingray,0.4,0.3,habitat_benthic,FB,
671,Elagatis bipinnulata,Carangidae,Rainbow runner,0.893,0.9,pelagic,FB,
672,Pseudotolithus senegallus,Sciaenidae,Law croaker,0.454,0.3,habitat_coastal,FB,
673,Coregonus lavaretus,Salmonidae,European whitefish,0.391,0.3,habitat_coastal,IUCN,"IUCN: “Spawns on gravel, near shore, in shallow water, in December.”"
674,Eptatretus cirrhatus,Myxinidae,Broadgilled hagfish,0.149,0.3,habitat_benthic,FB,
675,Hoplopagrus guentherii,Lutjanidae,Mexican barred snapper,0.503,0.3,habitat_reef,FB,
676,Scomberesox saurus,Scomberesocidae,Atlantic saury,0.634,0.9,pelagic,FB,
677,Tylosurus crocodilus,Belonidae,Hound needlefish,0.696,0.3,habitat_coastal,FB,FB: “A pelagic species (Ref. 26340) found over lagoon and seaward reefs.”
678,Plagiogeneion rubiginosum,Emmelichthyidae,Rubyfish,0.467,0.9,deep,IUCN,"IUCN: “Plagiogeneion rubiginosum inhabits deep waters along the edges of continental shelves and seamounts (Horn et al. 2012, O’Driscoll et al. 2012)...Based on radiocarbon analyses and otolith interpretations, it has a maximum longevity of about 100 years (Horn et al. 2012, Trnski 2015).”"
679,Mullus argentinae,Mullidae,Argentine goatfish,0.777,0.3,habitat_benthic,FB,
680,Sparus aurata,Sparidae,Gilthead seabream,0.38,0.3,habitat_reef,IUCN,IUCN: “This species has reduced home ranges and shows site fidelity when displaced (Abecassis and Erzini 2008) and may be solitary or form small aggregations.”
681,Grammoplites suppositus,Platycephalidae,Spotfin flathead,0.421,0.3,habitat_benthic,FB,
682,Peprilus paru,Stromateidae,American harvestfish,0.911,0.3,habitat_coastal,FB,"FB: “A pelagic fish forming large schools in coastal bays, inshore waters over the continental shelf and around islands at moderate depths (50 to 70 m) where it occurs throughout the year (Ref. 53006).”"
683,Sparidentex hasta,Sparidae,Sobaity seabream,0.509,0.3,habitat_reef,FB,
684,Dicologlossa cuneata,Soleidae,Wedge sole,0.219,0.3,habitat_benthic,FB,
685,Palinurus delagoae,Palinuridae,Natal spiny lobster,0.22,0.3,habitat_benthic,REF,Secondary ref: (39) “...only 2.1% of larger lobsters migrated further than 20 km.”
686,Palinurus mauritanicus,Palinuridae,pink spiny lobster,0.22,0.3,habitat_benthic,IUCN,
687,Panulirus cygnus,Palinuridae,Australian spiny lobster,1.15,0.3,habitat_benthic,IUCN,
688,Panulirus gracilis,Palinuridae,green spiny lobster,1.018,0.9,migratory,IUCN,"IUCN: “In the northern hemisphere, this species migrates to coastal shallow waters in November and December and remains there until May (Guzman et al. 2008).”"
689,Panulirus homarus,Palinuridae,scalloped spiny lobster,1.018,0.3,habitat_benthic,REF,Secondary ref: (40) “Mark-recovery experiments conducted with the help of suture tags on Indian spiny lobster Panulirus homarus (Linn.) showed that their movement in the fishing ground is of a very restricted nature. Long migratory movements were not observed.”
690,Panulirus longipes,Palinuridae,longlegged spiny lobster,1.018,0.3,habitat_benthic,SLB,
691,Penaeus monodon,Penaeidae,giant tiger prawn,1.19,0.3,habitat_benthic,SLB,
692,Xiphopenaeus kroyeri,Penaeidae,Atlantic seabob,0.88,0.3,habitat_benthic,SLB,
693,Artemesia longinaris,Penaeidae,Argentine stiletto shrimp,0.52,0.3,habitat_benthic,SLB,
694,Metapenaeus endeavouri,Penaeidae,endeavour shrimp,0.93,0.3,habitat_benthic,SLB,
695,Metapenaeus joyneri,Penaeidae,Shiba shrimp,1.02,0.3,habitat_coastal,REF,Secondary ref: (41)
696,Metapenaeus monoceros,Penaeidae,speckled shrimp,1.11,0.1,sedentary,SLB,SLB: “Frequently burrows (Ref. 106912).”
697,Acetes erythraeus,Sergestidae,tsivakihini paste shrimp,1.19,0.3,habitat_coastal,SLB,
698,Acetes japonicus,Sergestidae,akiami paste shrimp,1.19,0.3,habitat_coastal,SLB,
699,Pleoticus muelleri,Solenoceridae,Argentine red shrimp,1.19,0.3,habitat_benthic,SLB,
700,Haliporoides diomedeae,Solenoceridae,Chilean knife shrimp,0.96,0.3,habitat_benthic,SLB,
701,Haliporoides triarthrus,Solenoceridae,knife shrimp,0.96,0.3,habitat_benthic,SLB,
702,Sicyonia brevirostris,Sicyoniidae,brown rock shrimp,0.81,0.3,habitat_benthic,SLB,
703,Sicyonia ingentis,Sicyoniidae,ridgeback rock shrimp,0.81,0.3,habitat_benthic,SLB,
704,Aristeus varidens,Aristeidae,striped red shrimp,0.48,0.3,habitat_deep,SLB,
705,Nematopalaemon schmitti,Palaemonidae,whitebelly prawn,1.19,0.3,habitat_coastal,SLB,
706,Pandalus jordani,Pandalidae,ocean shrimp,0.54,0.3,habitat_benthic,SLB,
707,Pandalus hypsinotus,Pandalidae,coonstriped shrimp,0.56,0.3,habitat_benthic,SLB,
708,Homarus gammarus,Nephropidae,European lobster,0.37,0.1,territorial,SLB,SLB: “Nocturnal and territorial living in holes or crevices.” (42)
709,Panulirus argus,Palinuridae,Caribbean spiny lobster,0.55,0.3,habitat_benthic,IUCN,
710,Palinurus elephas,Palinuridae,Common spiny lobster,0.22,0.3,habitat_benthic,IUCN,
711,Lithodes santolla,Lithodidae,Southern king crab,0.57,0.3,habitat_benthic,SLB,
712,Nematopalaemon hastatus,Palaemonidae,estuarine prawn,1.19,0.3,habitat_coastal,SLB,
713,Pandalus kessleri,Pandalidae,Hokkai shrimp,0.56,0.3,habitat_benthic,SLB,
714,Panopea abrupta,Hiatellidae,Pacific geoduck clam,0.37,0.1,sedentary,SLB,
715,Tivela mactroides,Veneridae,trigonal tivela,1.18,0.1,sedentary,SLB,
716,Penaeus penicillatus,Penaeidae,NA,1.083,0.3,habitat_benthic,SLB,
717,Cancer pagurus,Cancridae,ox crab,0.46,0.1,sedentary,SLB,
718,Chaceon affinis,Geryonidae,deep-sea red crab,0.42,0.3,habitat_benthic,SLB,
719,Callinectes danae,Portunidae,Dana swimming crab,0.6,0.3,habitat_coastal,REF,"Secondary ref: (43) “C. danae breeds in the estuarine bay complex, with males and juvenile females concentrated in the estuary.”"
720,Portunus pelagicus,Portunidae,flower crab,1.19,0.3,habitat_coastal,SLB,"“In all, 1003 tagged crabs (14.7%) were recaptured, with 79% of these recaptured less than 2 km from their release points and 4% recaptured more than 10 km from their release points.” Ref: (44)"
721,Cancer borealis,Cancridae,Jonah crab,0.46,0.1,sedentary,SLB,
722,Portunus trituberculatus,Portunidae,horse crab,1.19,0.9,migratory,REF,"Secondary ref: (45) “P. trituberculatus is characterized by long-distance migration and is a repeat spawner (Dai, 1977, 1986; Xue et al., 1997).”"
723,Scylla serrata,Portunidae,giant mud crab,1.17,0.3,habitat_coastal,REF,Secondary ref: (46)
724,Chaceon maritae,Geryonidae,West African geryon,0.42,0.3,habitat_benthic,SLB,
